


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.071
                                                            Tripleafx-FX-Demo (Build 971)

                             Symbol          EURUSD (Euro vs US Dollar)
                             Period          1 Minute (M1) 2014.01.01 23:41 - 2014.12.29 23:59 (2014.01.01 - 2014.12.30)
                             Model           Every tick (the most precise method based on all available least timeframes)
                             Initial deposit 2000.00
                             Spread          10
                                                                 [Optimization Graph]
         Pass Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
           31  -1.40           11          0.50           -0.13       5.81       0.29 RSI1_SignalMethod=30; MaxOrders=0; MaxOrdersPerType=35;
           30  -1.40           11          0.50           -0.13       5.81       0.29 RSI1_SignalMethod=29; MaxOrders=0; MaxOrdersPerType=35;
           29  -1.40           11          0.50           -0.13       5.81       0.29 RSI1_SignalMethod=28; MaxOrders=0; MaxOrdersPerType=35;
           28  -1.40           11          0.50           -0.13       5.81       0.29 RSI1_SignalMethod=27; MaxOrders=0; MaxOrdersPerType=35;
           27  -1.40           11          0.50           -0.13       5.81       0.29 RSI1_SignalMethod=26; MaxOrders=0; MaxOrdersPerType=35;
           26  -1.40           11          0.50           -0.13       5.81       0.29 RSI1_SignalMethod=25; MaxOrders=0; MaxOrdersPerType=35;
           25  -1.40           11          0.50           -0.13       5.81       0.29 RSI1_SignalMethod=24; MaxOrders=0; MaxOrdersPerType=35;
           55  -2.67           11          0.33           -0.24       6.75       0.34 RSI1_SignalMethod=54; MaxOrders=0; MaxOrdersPerType=35;
           53  -2.67           11          0.33           -0.24       6.75       0.34 RSI1_SignalMethod=52; MaxOrders=0; MaxOrdersPerType=35;
           52  -3.69           11          0.11           -0.34       5.64       0.28 RSI1_SignalMethod=51; MaxOrders=0; MaxOrdersPerType=35;
           51  -3.69           11          0.11           -0.34       5.64       0.28 RSI1_SignalMethod=50; MaxOrders=0; MaxOrdersPerType=35;
           50  -3.69           11          0.11           -0.34       5.64       0.28 RSI1_SignalMethod=49; MaxOrders=0; MaxOrdersPerType=35;
           49  -3.69           11          0.11           -0.34       5.64       0.28 RSI1_SignalMethod=48; MaxOrders=0; MaxOrdersPerType=35;
            1  -5.20          159          0.90           -0.03      21.08       1.05  RSI1_SignalMethod=0; MaxOrders=0; MaxOrdersPerType=35;
            2  -5.42          159          0.89           -0.03      21.29       1.06  RSI1_SignalMethod=1; MaxOrders=0; MaxOrdersPerType=35;
            3  -5.73          158          0.89           -0.04      21.72       1.08  RSI1_SignalMethod=2; MaxOrders=0; MaxOrdersPerType=35;
            4  -5.95          158          0.88           -0.04      21.93       1.09  RSI1_SignalMethod=3; MaxOrders=0; MaxOrdersPerType=35;
